keys	action	replacement
Eh	correct	또
Ehd	correct	똥
Ehf	correct	똘
Ehk	correct	똬
Ehkf	correct	똴
Ehl	correct	뙤
Ehls	correct	뙨
Ehr	correct	똑
Ehs	correct	똔
EjT	correct	떴
Ejd	correct	떵
Ejf	correct	떨
Ejfa	correct	떪
Ejfq	correct	떫
Ejg	correct	떻
Ejq	correct	떱
Ejr	correct	떡
Ejs	correct	떤
Ejt	correct	떳
EkT	correct	땄
Ekd	correct	땅
Ekf	correct	딸
Ekg	correct	땋
Ekq	correct	땁
Ekr	correct	딱
Eks	correct	딴
Elq	correct	띱
Eml	correct	띄
Emlf	correct	띌
Emlq	correct	띕
Emls	correct	띈
Emq	correct	뜹
Emr	correct	뜩
Enfg	correct	뚫
Enl	correct	뛰
Enld	correct	뜅
Enlf	correct	뛸
Enlq	correct	뜁
Enls	correct	뛴
Enr	correct	뚝
Eo	correct	때
EoT	correct	땠
Eoa	correct	땜
Eod	correct	땡
Eof	correct	땔
Eoq	correct	땝
Eor	correct	땍
Eos	correct	땐
Eot	correct	땟
EpT	correct	뗐
Epd	correct	뗑
Epf	correct	뗄
Epq	correct	뗍
Epr	correct	떽
EuT	correct	뗬
Qha	correct	뽐
Qja	correct	뻠
Qje	correct	뻗
Qka	correct	빰
Qkfa	correct	빪
Qla	correct	삠
Qma	correct	쁨
Qna	correct	뿜
Qns	correct	뿐
QoT	correct	뺐
Qoq	correct	뺍
QuT	correct	뼜
Qud	correct	뼝
Quq	correct	뼙
Qur	correct	뼉
Qut	correct	뼛
Rhkr	correct	꽉
Rhla	correct	꾐
Rho	correct	꽤
Rhr	correct	꼭
Rja	correct	껌
Rka	correct	깜
Rkfa	correct	깖
Rla	correct	낌
Rma	correct	끔
Rmfa	correct	끎
Rna	correct	꿈
Rnla	correct	뀜
Rnpa	correct	뀀
RoT	correct	깼
Roq	correct	깹
Rp	correct	께
Rpa	correct	껨
RuT	correct	꼈
Thfa	correct	쏢
Thla	correct	쐼
ThoT	correct	쐤
Tja	correct	썸
Tjfa	correct	썲
Tka	correct	쌈
Tla	correct	씸
Tma	correct	씀
Tmfa	correct	쓺
Tmla	correct	씜
Tna	correct	쑴
ToT	correct	쌨
Toq	correct	쌥
Whla	correct	쬠
WhoT	correct	쬈
Whr	correct	쪽
Wja	correct	쩜
Wka	correct	짬
Wks	correct	짠
Wla	correct	찜
Wma	correct	쯤
Wna	correct	쭘
Wnr	correct	쭉
WoT	correct	쨌
Woq	correct	쨉
WuT	correct	쪘
abf	correct	뮬
abt	correct	뮷
ahd	correct	몽
ahf	correct	몰
ahfa	correct	몲
ahk	correct	뫄
ahkT	correct	뫘
ahkd	correct	뫙
ahks	correct	뫈
ahl	correct	뫼
ahld	correct	묑
ahlf	correct	묄
ahlq	correct	묍
ahls	correct	묀
ahlt	correct	묏
ahq	correct	몹
ahr	correct	목
ahrt	correct	몫
ahs	correct	몬
aht	correct	못
ajd	correct	멍
ajf	correct	멀
ajfa	correct	멂
ajg	correct	멓
ajq	correct	멉
ajr	correct	먹
ajs	correct	먼
ajt	correct	멋
ajw	correct	멎
akd	correct	망
akf	correct	말
akfr	correct	맑
akg	correct	맣
akq	correct	맙
akr	correct	막
aks	correct	만
aksg	correct	많
akw	correct	맞
akx	correct	맡
alT	correct	밌
alq	correct	밉
